Attribute XML Name,Attribute Name,Definition,,
longDescription,Long Description *,"Complete description that will be displayed on the item page as a
bulleted list. Enter the item's key features, benefits, and other
notables, each on its own line. Use HTML to create the headings, line
breaks,  and bulleted list. Example: - Fabric content
- Features
and/or attributes related to the product as a whole, such as pattern,
fabric, etc.)
- Neckline 
- Sleeves 
- Fit 
- Additional details (any
info on tag) 
- Hem details 
- Bonus item/accessory, if applicable 
-
Care instructions (Please enter text with 4000 character max)",,
mainImageUrl,Main Image-Main Image Url *,"Location of the image. URLs must begin with http:// or https://
Example: http://www.walmart.com/main_image.jpg (Please enter text with 2000 character max)",,
manufacturer,Manufacturer (Optional),"Manufacturer is the maker of the product. This is the name of the
company that produces the product, not necessarily the brand name of
the item. (Please enter text with 4000 character max)",,
manufacturerPartNumber,Manufacturer Part Number (Optional),"MPN uniquely identifies the product to its manufacturer. For many
products this will be identical to the model number. Some
manufacturers distinguish part number from model number. (Please enter text with 4000 character max)",,
materialName,Fabric Content Value-Material Name (#3) (Optional),Material name. Example: Cotton; Rayon (Please enter text with 4000 character max),,
materialPercentage,Fabric Content Value-Material Percentage (#3) (Optional),Corresponding material percentage. Example: 98%; 2% (Please enter the value),,
materialValue,Material-Material Value (Optional),"Material makeup of the item. Fabric materials should be entered using
the ""Fabric Content"" attribute. Example: Nickel; Metal; Plastic (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)",,
measure,Fluid Ounces-Measure (Optional),Example: 8 fl oz (Please enter the value),,
modelNumber,Model Number (Optional),"Having this information allows customers to search for items on the
site and informs product matching. (Please enter text with 4000 character max)",,
numberOfBatteries,Battery Type And Quantity Value-Number Of Batteries (#3) (Optional),"Required if ""Has Batteries = Y"" (Please enter the value)",,
patternValue,Pattern-Pattern Value (Optional),"Decorative design or visual ornamentation, often with a thematic,
recurring motif. Example: Floral; Plaid; Paisley (If you want to submit multiple values, use a semicolon to separate the values. For example – value1;value2;value3. Please enter text with 4000 character max)",,
